,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,Corp ID,Corp Name,SpecEd 2016,SpecEd Perc,Enrollment 2016
133,A104,Saint Joseph-Saint Elizabeth Campus II,Allen,B,,197.0,,9220.0,Diocese of Fort Wayne - South Bend,25.0,5.45%,459.0
134,A120,Bishop Dwenger High School,Allen,A,22.0,450.0,19.4545454545,9220.0,Diocese of Fort Wayne - South Bend,59.0,5.49%,1075.0
135,A125,Bishop Luers High School,Allen,B,58.0,391.0,5.74137931034,9220.0,Diocese of Fort Wayne - South Bend,38.0,6.16%,617.0
136,A130,Most Precious Blood School,Allen,B,17.0,168.0,8.88235294118,9220.0,Diocese of Fort Wayne - South Bend,22.0,9.48%,232.0
137,A135,Queen Of Angels School,Allen,C,19.0,128.0,5.73684210526,9220.0,Diocese of Fort Wayne - South Bend,11.0,5.70%,193.0
138,A145,Saint Charles Borromeo School,Allen,A,24.0,389.0,15.2083333333,9220.0,Diocese of Fort Wayne - South Bend,37.0,5.17%,715.0
139,A150,Saint John The Baptist School,Allen,A,20.0,158.0,6.9,9220.0,Diocese of Fort Wayne - South Bend,13.0,5.68%,229.0
140,A155,Saint Joseph-Saint Elizabeth Campus I,Allen,B,,139.0,,9220.0,Diocese of Fort Wayne - South Bend,10.0,5.52%,181.0
141,A160,Saint Jude Elementary School,Allen,A,28.0,303.0,9.82142857143,9220.0,Diocese of Fort Wayne - South Bend,32.0,6.61%,484.0
142,A175,Saint Therese School,Allen,C,32.0,158.0,3.9375,9220.0,Diocese of Fort Wayne - South Bend,17.0,8.85%,192.0
143,A180,Saint Vincent DePaul School,Allen,A,,256.0,,9220.0,Diocese of Fort Wayne - South Bend,52.0,6.91%,752.0
144,A270,Saint Aloysius Catholic School,Allen,A,,51.0,,9220.0,Diocese of Fort Wayne - South Bend,13.0,13.40%,97.0
145,A340,Saint Joseph Catholic School,Allen,B,12.0,47.0,2.91666666667,9220.0,Diocese of Fort Wayne - South Bend,10.0,9.52%,105.0
146,A350,Saint Joseph Hessen Cassel Catholic School,Allen,B,,56.0,,9220.0,Diocese of Fort Wayne - South Bend,10.0,8.93%,112.0
147,A355,Saint John The Baptist Catholic School,Allen,A,,132.0,,9220.0,Diocese of Fort Wayne - South Bend,13.0,5.73%,227.0
148,A360,Saint Louis Besancon Catholic School,Allen,D,,63.0,,9220.0,Diocese of Fort Wayne - South Bend,5.0,5.32%,94.0
149,A735,Saint Joseph School,Dekalb,A,,37.0,,9220.0,Diocese of Fort Wayne - South Bend,6.0,7.89%,76.0
150,A975,Saint Thomas The Apostle School,Elkhart,B,13.0,86.0,5.61538461538,9220.0,Diocese of Fort Wayne - South Bend,20.0,8.00%,250.0
151,A980,Saint Vincent DePaul School,Elkhart,B,23.0,147.0,5.39130434783,9220.0,Diocese of Fort Wayne - South Bend,10.0,6.13%,163.0
152,B020,Saint John Evangelist School,Elkhart,C,,92.0,,9220.0,Diocese of Fort Wayne - South Bend,11.0,8.66%,127.0
153,B418,Huntington Catholic School,Huntington,C,17.0,75.0,3.41176470588,9220.0,Diocese of Fort Wayne - South Bend,15.0,13.76%,109.0
154,B605,Sacred Heart School,Kosciusko,A,,46.0,,9220.0,Diocese of Fort Wayne - South Bend,13.0,8.97%,145.0
155,C855,Saint Michael School,Marshall,A,,74.0,,9220.0,Diocese of Fort Wayne - South Bend,7.0,4.35%,161.0
156,C980,Saint Mary Elementary School,Noble,B,,57.0,,9220.0,Diocese of Fort Wayne - South Bend,14.0,11.29%,124.0
157,D164,Saint Pius X Catholic School,St Joseph,A,,94.0,,9220.0,Diocese of Fort Wayne - South Bend,36.0,6.45%,558.0
158,D165,Marian High School,St Joseph,A,41.0,341.0,7.31707317073,9220.0,Diocese of Fort Wayne - South Bend,32.0,4.65%,688.0
159,D177,Mishawaka Catholic School,St Joseph,B,18.0,163.0,8.05555555556,9220.0,Diocese of Fort Wayne - South Bend,24.0,8.92%,269.0
160,D198,Queen of Peace School,St Joseph,A,,96.0,,9220.0,Diocese of Fort Wayne - South Bend,14.0,6.70%,209.0
161,D225,Saint Joseph's High School,St Joseph,A,13.0,288.0,21.1538461538,9220.0,Diocese of Fort Wayne - South Bend,35.0,3.91%,896.0
162,D230,Christ The King School,St Joseph,A,,135.0,,9220.0,Diocese of Fort Wayne - South Bend,38.0,7.92%,480.0
163,D235,Corpus Christi School,St Joseph,B,,80.0,,9220.0,Diocese of Fort Wayne - South Bend,20.0,10.64%,188.0
164,D240,Holy Cross School,St Joseph,C,43.0,153.0,2.55813953488,9220.0,Diocese of Fort Wayne - South Bend,21.0,9.91%,212.0
165,D245,Holy Family School,St Joseph,C,35.0,157.0,3.48571428571,9220.0,Diocese of Fort Wayne - South Bend,12.0,4.60%,261.0
166,D250,Our Lady Of Hungary School,St Joseph,A,65.0,179.0,1.75384615385,9220.0,Diocese of Fort Wayne - South Bend,10.0,5.43%,184.0
167,D255,Saint Adalbert School,St Joseph,B,46.0,198.0,3.30434782609,9220.0,Diocese of Fort Wayne - South Bend,9.0,4.00%,225.0
168,D260,Saint Anthony De Padua School,St Joseph,A,32.0,134.0,3.1875,9220.0,Diocese of Fort Wayne - South Bend,29.0,10.51%,276.0
169,D265,Saint John The Baptist School,St Joseph,D,27.0,68.0,1.51851851852,9220.0,Diocese of Fort Wayne - South Bend,5.0,6.94%,72.0
170,D270,Saint Joseph School,St Joseph,A,,91.0,,9220.0,Diocese of Fort Wayne - South Bend,37.0,8.17%,453.0
171,D275,Saint Jude Catholic School,St Joseph,C,17.0,117.0,5.88235294118,9220.0,Diocese of Fort Wayne - South Bend,38.0,19.69%,193.0
172,D285,Saint Matthew Cathedral School,St Joseph,C,32.0,258.0,7.0625,9220.0,Diocese of Fort Wayne - South Bend,46.0,12.99%,354.0
173,D805,Saint Bernard Elementary School,Wabash,A,,47.0,,9220.0,Diocese of Fort Wayne - South Bend,4.0,5.26%,76.0
174,A040,Saint Peter Immanuel Lutheran School,Adams,C,9.0,18.0,1.0,9230.0,Lutheran Schools of Indiana,2.0,4.65%,43.0
175,A045,Wyneken Memorial Lutheran School,,A,,,,9230.0,Lutheran Schools of Indiana,10.0,4.61%,217.0
176,A195,Concordia Lutheran High School,Allen,A,21.0,397.0,17.9047619048,9230.0,Lutheran Schools of Indiana,31.0,3.97%,781.0
177,A200,Suburban Bethlehem Lutheran School,Allen,B,9.0,84.0,8.33333333333,9230.0,Lutheran Schools of Indiana,10.0,6.54%,153.0
178,A205,Concordia Evangelical Lutheran School,Allen,C,9.0,246.0,26.3333333333,9230.0,Lutheran Schools of Indiana,18.0,4.63%,389.0
179,A215,Emmanuel Saint Michael Lutheran School,Allen,A,9.0,162.0,17.0,9230.0,Lutheran Schools of Indiana,22.0,6.40%,344.0
180,A220,Emmaus Lutheran School,Allen,A,16.0,94.0,4.875,9230.0,Lutheran Schools of Indiana,3.0,1.55%,193.0
181,A225,Holy Cross Lutheran School,Allen,B,9.0,202.0,21.4444444444,9230.0,Lutheran Schools of Indiana,26.0,6.31%,412.0
182,A235,Lutheran South Unity School,Allen,B,19.0,65.0,2.42105263158,9230.0,Lutheran Schools of Indiana,14.0,8.05%,174.0
183,A245,Saint Paul Lutheran School,Allen,A,12.0,125.0,9.41666666667,9230.0,Lutheran Schools of Indiana,13.0,7.14%,182.0
184,A248,Ascension Lutheran School,Allen,B,,86.0,,9230.0,Lutheran Schools of Indiana,11.0,7.86%,140.0
185,A250,Saint Peter's Lutheran School,Allen,A,9.0,124.0,12.7777777778,9230.0,Lutheran Schools of Indiana,15.0,7.01%,214.0
186,A365,Saint John-Emmanuel Lutheran School,Allen,C,9.0,53.0,4.88888888889,9230.0,Lutheran Schools of Indiana,18.0,12.95%,139.0
187,A370,Central Lutheran School,Allen,B,9.0,160.0,16.7777777778,9230.0,Lutheran Schools of Indiana,12.0,3.48%,345.0
188,A375,Woodburn Lutheran School,Allen,A,,82.0,,9230.0,Lutheran Schools of Indiana,13.0,9.85%,132.0
189,A430,White Creek Lutheran School,Bartholomew,A,,17.0,,9230.0,Lutheran Schools of Indiana,12.0,9.38%,128.0
190,A435,Saint Peter Lutheran School,Bartholomew,B,,122.0,,9230.0,Lutheran Schools of Indiana,33.0,7.50%,440.0
191,B275,Saint John Lutheran School,Harrison,C,9.0,25.0,1.77777777778,9230.0,Lutheran Schools of Indiana,11.0,17.19%,64.0
192,B367,Redeemer Lutheran School,Howard,B,,49.0,,9230.0,Lutheran Schools of Indiana,13.0,13.68%,95.0
193,B445,Immanuel Lutheran School,Jackson,A,9.0,104.0,10.5555555556,9230.0,Lutheran Schools of Indiana,36.0,11.15%,323.0
194,B450,Saint John Lutheran School,Jackson,F,9.0,,,9230.0,Lutheran Schools of Indiana,13.0,14.44%,90.0
195,B452,Trinity Lutheran High School,Jackson,A,9.0,51.0,4.66666666667,9230.0,Lutheran Schools of Indiana,11.0,7.75%,142.0
196,B465,Lutheran Central School,,A,,,,9230.0,Lutheran Schools of Indiana,10.0,7.87%,127.0
197,B850,Trinity Lutheran School,Lake,B,,88.0,,9230.0,Lutheran Schools of Indiana,15.0,7.81%,192.0
198,C050,Trinity Lutheran School,Lake,B,10.0,27.0,1.7,9230.0,Lutheran Schools of Indiana,4.0,4.88%,82.0
199,C065,Saint Paul's Lutheran School,Lake,A,9.0,37.0,3.11111111111,9230.0,Lutheran Schools of Indiana,10.0,6.02%,166.0
200,C150,Saint John Lutheran School,LaPorte,A,,57.0,,9230.0,Lutheran Schools of Indiana,10.0,9.80%,102.0
201,C267,Holy Cross Lutheran School,Marion,A,,36.0,,9230.0,Lutheran Schools of Indiana,24.0,10.00%,240.0
202,C270,Lutheran High School,Marion,B,15.0,121.0,7.06666666667,9230.0,Lutheran Schools of Indiana,20.0,7.97%,251.0
203,C315,Calvary Lutheran School,Marion,B,20.0,113.0,4.65,9230.0,Lutheran Schools of Indiana,18.0,8.04%,224.0
204,C395,Trinity Lutheran School,Marion,B,24.0,51.0,1.125,9230.0,Lutheran Schools of Indiana,13.0,10.83%,120.0
205,C400,Saint John Evangelical Lutheran School,Marion,B,11.0,69.0,5.27272727273,9230.0,Lutheran Schools of Indiana,16.0,8.65%,185.0
206,C512,Our Shepherd Lutheran School,Hendricks,C,,52.0,,9230.0,Lutheran Schools of Indiana,11.0,7.33%,150.0
207,C680,Emmaus Lutheran School,Marion,No Grade,,14.0,,9230.0,Lutheran Schools of Indiana,2.0,10.53%,19.0
