,School No.,School Name,County,Voucher enrollment 2016,Special ed enrollment 2016,Special ed ratio 2016,Total enrollment 2016,2016 Grade,District No.,District Name
234,D415,Central Catholic Jr/Sr High School,Tippecanoe,168,22.0,5.08,433.0,A,1180,Rossville Consolidated School District
235,D415,Central Catholic Jr/Sr High School,Tippecanoe,168,22.0,5.08,433.0,A,7865,Tippecanoe School Corporation
236,D415,Central Catholic Jr/Sr High School,Tippecanoe,168,22.0,5.08,433.0,A,8565,Twin Lakes School Corporation
237,D415,Central Catholic Jr/Sr High School,Tippecanoe,168,22.0,5.08,433.0,A,7875,West Lafayette Community School Corporation
238,C625,Central Catholic School,Marion,188,10.0,4.48,223.0,F,5380,Beech Grove City Schools
239,C625,Central Catholic School,Marion,188,10.0,4.48,223.0,F,5310,Franklin Township Community School Corporation
240,C625,Central Catholic School,Marion,188,10.0,4.48,223.0,F,5385,Indianapolis Public Schools
241,C625,Central Catholic School,Marion,188,10.0,4.48,223.0,F,5300,M S D Decatur Township
242,C625,Central Catholic School,Marion,188,10.0,4.48,223.0,F,5340,M S D Perry Township
243,C625,Central Catholic School,Marion,188,10.0,4.48,223.0,F,5360,M S D Warren Township
244,C625,Central Catholic School,Marion,188,10.0,4.48,223.0,F,5835,North Montgomery Community School Corporation
245,A249,Central Christian School,Allen,96,11.0,7.48,147.0,C,1835,DeKalb County Central United School District
246,A249,Central Christian School,Allen,96,11.0,7.48,147.0,C,255,East Allen County Schools
247,A249,Central Christian School,Allen,96,11.0,7.48,147.0,C,235,Fort Wayne Community Schools
248,A249,Central Christian School,Allen,96,11.0,7.48,147.0,C,225,Northwest Allen County Schools
249,A370,Central Lutheran School,Allen,160,12.0,3.48,345.0,B,255,East Allen County Schools
250,A370,Central Lutheran School,Allen,160,12.0,3.48,345.0,B,235,Fort Wayne Community Schools
251,A370,Central Lutheran School,Allen,160,12.0,3.48,345.0,B,225,Northwest Allen County Schools
252,A370,Central Lutheran School,Allen,160,12.0,3.48,345.0,B,8665,Whitley County Consolidated Schools
253,C585,Christ The King School,Marion,98,43.0,12.65,340.0,A,5385,Indianapolis Public Schools
254,C585,Christ The King School,Marion,98,43.0,12.65,340.0,A,5330,M S D Lawrence Township
255,C585,Christ The King School,Marion,98,43.0,12.65,340.0,A,5350,M S D Pike Township
256,C585,Christ The King School,Marion,98,43.0,12.65,340.0,A,5360,M S D Warren Township
257,C585,Christ The King School,Marion,98,43.0,12.65,340.0,A,5370,M S D Washington Township
258,C585,Christ The King School,Marion,98,43.0,12.65,340.0,A,630,Zionsville Community Schools
259,D230,Christ The King School,St Joseph,135,38.0,7.92,480.0,A,2305,Elkhart Community Schools
260,D230,Christ The King School,St Joseph,135,38.0,7.92,480.0,A,4805,New Prairie United School Corporation
261,D230,Christ The King School,St Joseph,135,38.0,7.92,480.0,A,7175,Penn-Harris-Madison School Corporation
262,D230,Christ The King School,St Joseph,135,38.0,7.92,480.0,A,7200,School City of Mishawaka
263,D230,Christ The King School,St Joseph,135,38.0,7.92,480.0,A,7205,South Bend Community School Corporation
264,D545,Christ The King School,Vanderburgh,48,13.0,8.44,154.0,A,7995,Evansville Vanderburgh School Corporation
265,D545,Christ The King School,Vanderburgh,48,13.0,8.44,154.0,A,8130,Warrick County School Corporation
266,B045,Christian Academy of Indiana,Floyd,229,19.0,2.56,743.0,A,1000,Clarksville Community School Corporation
267,B045,Christian Academy of Indiana,Floyd,229,19.0,2.56,743.0,A,1300,Crawford County Community School Corporation
268,B045,Christian Academy of Indiana,Floyd,229,19.0,2.56,743.0,A,1010,Greater Clark County Schools
