,Corp ID,Corp Name,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,SpecEd 2016,SpecEd Perc,Enrollment 2016,Voucher Perc
171,9220.0,Diocese of Fort Wayne - South Bend,D275,Saint Jude Catholic School,St Joseph,C,17.0,117.0,5.88235294118,38.0,19.69,193.0,60.62
172,9220.0,Diocese of Fort Wayne - South Bend,D285,Saint Matthew Cathedral School,St Joseph,C,32.0,258.0,7.0625,46.0,12.99,354.0,72.88
173,9220.0,Diocese of Fort Wayne - South Bend,D805,Saint Bernard Elementary School,Wabash,A,,47.0,,4.0,5.26,76.0,61.84
174,9230.0,Lutheran Schools of Indiana,A040,Saint Peter Immanuel Lutheran School,Adams,C,9.0,18.0,1.0,2.0,4.65,43.0,41.86
175,9230.0,Lutheran Schools of Indiana,A045,Wyneken Memorial Lutheran School,,A,,,,10.0,4.61,217.0,
176,9230.0,Lutheran Schools of Indiana,A195,Concordia Lutheran High School,Allen,A,21.0,397.0,17.9047619048,31.0,3.97,781.0,50.83
177,9230.0,Lutheran Schools of Indiana,A200,Suburban Bethlehem Lutheran School,Allen,B,9.0,84.0,8.33333333333,10.0,6.54,153.0,54.9
178,9230.0,Lutheran Schools of Indiana,A205,Concordia Evangelical Lutheran School,Allen,C,9.0,246.0,26.3333333333,18.0,4.63,389.0,63.24
179,9230.0,Lutheran Schools of Indiana,A215,Emmanuel Saint Michael Lutheran School,Allen,A,9.0,162.0,17.0,22.0,6.4,344.0,47.09
180,9230.0,Lutheran Schools of Indiana,A220,Emmaus Lutheran School,Allen,A,16.0,94.0,4.875,3.0,1.55,193.0,48.7
181,9230.0,Lutheran Schools of Indiana,A225,Holy Cross Lutheran School,Allen,B,9.0,202.0,21.4444444444,26.0,6.31,412.0,49.03
182,9230.0,Lutheran Schools of Indiana,A235,Lutheran South Unity School,Allen,B,19.0,65.0,2.42105263158,14.0,8.05,174.0,37.36
183,9230.0,Lutheran Schools of Indiana,A245,Saint Paul Lutheran School,Allen,A,12.0,125.0,9.41666666667,13.0,7.14,182.0,68.68
184,9230.0,Lutheran Schools of Indiana,A248,Ascension Lutheran School,Allen,B,,86.0,,11.0,7.86,140.0,61.43
185,9230.0,Lutheran Schools of Indiana,A250,Saint Peter's Lutheran School,Allen,A,9.0,124.0,12.7777777778,15.0,7.01,214.0,57.94
186,9230.0,Lutheran Schools of Indiana,A365,Saint John-Emmanuel Lutheran School,Allen,C,9.0,53.0,4.88888888889,18.0,12.95,139.0,38.13
187,9230.0,Lutheran Schools of Indiana,A370,Central Lutheran School,Allen,B,9.0,160.0,16.7777777778,12.0,3.48,345.0,46.38
188,9230.0,Lutheran Schools of Indiana,A375,Woodburn Lutheran School,Allen,A,,82.0,,13.0,9.85,132.0,62.12
189,9230.0,Lutheran Schools of Indiana,A430,White Creek Lutheran School,Bartholomew,A,,17.0,,12.0,9.38,128.0,13.28
190,9230.0,Lutheran Schools of Indiana,A435,Saint Peter Lutheran School,Bartholomew,B,,122.0,,33.0,7.5,440.0,27.73
191,9230.0,Lutheran Schools of Indiana,B275,Saint John Lutheran School,Harrison,C,9.0,25.0,1.77777777778,11.0,17.19,64.0,39.06
192,9230.0,Lutheran Schools of Indiana,B367,Redeemer Lutheran School,Howard,B,,49.0,,13.0,13.68,95.0,51.58
193,9230.0,Lutheran Schools of Indiana,B445,Immanuel Lutheran School,Jackson,A,9.0,104.0,10.5555555556,36.0,11.15,323.0,32.2
194,9230.0,Lutheran Schools of Indiana,B450,Saint John Lutheran School,Jackson,F,9.0,,,13.0,14.44,90.0,
195,9230.0,Lutheran Schools of Indiana,B452,Trinity Lutheran High School,Jackson,A,9.0,51.0,4.66666666667,11.0,7.75,142.0,35.92
196,9230.0,Lutheran Schools of Indiana,B465,Lutheran Central School,,A,,,,10.0,7.87,127.0,
197,9230.0,Lutheran Schools of Indiana,B850,Trinity Lutheran School,Lake,B,,88.0,,15.0,7.81,192.0,45.83
198,9230.0,Lutheran Schools of Indiana,C050,Trinity Lutheran School,Lake,B,10.0,27.0,1.7,4.0,4.88,82.0,32.93
