CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
1010,Greater Clark County Schools,891,Clark County Middle/High School,2,1.68%,1,0.84%,119
1125,Clay Community Schools,,,7,0.17%,865,20.46%,4228
1125,Clay Community Schools,895,Clay City Elementary School,1,0.28%,68,19.10%,356
1125,Clay Community Schools,897,Clay City Jr-Sr High School,1,0.26%,53,13.98%,379
1125,Clay Community Schools,901,Jackson Township Elementary School,1,0.34%,58,19.66%,295
1125,Clay Community Schools,907,Staunton Elementary School,0,0.00%,53,17.79%,298
1125,Clay Community Schools,923,Van Buren Elementary School,0,0.00%,74,30.33%,244
1125,Clay Community Schools,925,North Clay Middle School,1,0.12%,139,16.83%,826
1125,Clay Community Schools,933,Northview High School,0,0.00%,183,17.87%,1024
1125,Clay Community Schools,941,East Side Elementary School,1,0.41%,59,24.28%,243
1125,Clay Community Schools,942,Forest Park Elementary School,1,0.34%,122,41.78%,292
1125,Clay Community Schools,949,Meridian Street Elementary School,1,0.37%,56,20.66%,271
1150,Clinton Central School Corporation,,,0,0.00%,108,11.66%,926
1150,Clinton Central School Corporation,957,Clinton Central Junior-Senior HS,0,0.00%,64,14.81%,432
1150,Clinton Central School Corporation,961,Clinton Central Elementary School,0,0.00%,44,8.91%,494
1160,Clinton Prairie School Corporation,,,25,2.08%,161,13.39%,1202
1160,Clinton Prairie School Corporation,977,Clinton Prairie Jr-Sr High School,13,2.51%,71,13.73%,517
1160,Clinton Prairie School Corporation,981,Clinton Prairie Elementary School,12,1.75%,90,13.14%,685
1170,Community Schools of Frankfort,,,708,22.17%,408,12.78%,3193
1170,Community Schools of Frankfort,997,Frankfort Senior High School,110,12.78%,100,11.61%,861
1170,Community Schools of Frankfort,999,Frankfort Middle School,124,17.37%,94,13.17%,714
1170,Community Schools of Frankfort,1014,Blue Ridge Primary Elementary Sch,173,33.08%,86,16.44%,523
1170,Community Schools of Frankfort,1015,Green Meadows Intermediate Elem,138,30.26%,60,13.16%,456
1170,Community Schools of Frankfort,1020,Suncrest Elementary School,163,25.51%,68,10.64%,639
1180,Rossville Con School District,,,6,0.60%,108,10.88%,993
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,3,0.55%,58,10.62%,546
1180,Rossville Con School District,1033,Rossville Elementary School,3,0.67%,50,11.19%,447
1300,Crawford County Community Sch Corp,,,2,0.13%,317,20.39%,1555
1300,Crawford County Community Sch Corp,1037,South Crawford Elementary School,0,0.00%,50,25.13%,199
1300,Crawford County Community Sch Corp,1045,West Crawford Elementary School,0,0.00%,60,24.39%,246
1300,Crawford County Community Sch Corp,1059,Crawford County High School,2,0.44%,57,12.47%,457
1300,Crawford County Community Sch Corp,1061,Crawford County Middle School,0,0.00%,76,22.16%,343
1300,Crawford County Community Sch Corp,1065,East Crawford Elementary School,0,0.00%,74,23.87%,310
1315,Barr-Reeve Community Schools Inc,,,0,0.00%,87,10.61%,820
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,0,0.00%,36,9.30%,387
1315,Barr-Reeve Community Schools Inc,1073,Barr Reeve Primary Grade School,0,0.00%,12,8.16%,147
1315,Barr-Reeve Community Schools Inc,1075,Barr Reeve Elementary School,0,0.00%,39,13.64%,286
1375,North Daviess Com Schools,,,30,2.57%,176,15.09%,1166
1375,North Daviess Com Schools,1090,North Daviess Elementary School,28,4.05%,100,14.45%,692
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,2,0.42%,76,16.03%,474
1405,Washington Community Schools,,,260,10.07%,569,22.03%,2583
1405,Washington Community Schools,1103,Lena Dunn Elementary School,88,19.78%,124,27.87%,445
1405,Washington Community Schools,1105,Veale Elementary School,0,0.00%,35,21.34%,164
1405,Washington Community Schools,1123,Washington Junior High School,35,8.71%,100,24.88%,402
1405,Washington Community Schools,1125,Washington High School,53,7.11%,143,19.19%,745
1405,Washington Community Schools,1129,North Elementary School,21,5.16%,76,18.67%,407
1405,Washington Community Schools,1133,Helen Griffith Elementary School,63,15.00%,91,21.67%,420
1560,Sunman-Dearborn Com Sch Corp,,,13,0.34%,589,15.45%,3812
1560,Sunman-Dearborn Com Sch Corp,1189,North Dearborn Elementary School,2,0.31%,78,12.13%,643
1560,Sunman-Dearborn Com Sch Corp,1190,Sunman-Dearborn Middle School,3,0.32%,152,16.33%,931
1560,Sunman-Dearborn Com Sch Corp,1193,Bright Elementary School,0,0.00%,113,21.32%,530
