CORP_NAME_CODE1,CORP_NAME1,SCHL_NAME_CODE,SCHL_NAME,GRADE,ENROLLMENT_N,ENROLLMENT_N1
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 2,33,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 3,23,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 4,28,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 5,22,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 6,5,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 7,11,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 8,7,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 9,,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 10,,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 11,,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 12,,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 12+/Adult,,240
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Pre-Kindergarten,30,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Kindergarten,12,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 1,11,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 2,16,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 3,18,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 4,10,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 5,13,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 6,12,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 7,14,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 8,10,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 9,,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 10,,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 11,,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 12,,146
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Grade 12+/Adult,,146
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Pre-Kindergarten,,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Kindergarten,,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 1,,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 2,,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 3,,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 4,,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 5,,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 6,,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 7,27,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 8,19,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 9,25,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 10,25,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 11,34,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 12,25,155
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Grade 12+/Adult,,155
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Pre-Kindergarten,53,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Kindergarten,37,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 1,37,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 2,31,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 3,40,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 4,37,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 5,35,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 6,41,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 7,,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 8,,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 9,,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 10,,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 11,,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 12,,311
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,Grade 12+/Adult,,311
9200,Archdiocese of Indianapolis,B515,Saint Mary School,Pre-Kindergarten,1,180
