School No.,School Name,County,2011,2012,2013,2014,2015,2016
B965,Saint John The Baptist School,Lake,48925.62,77651.47,283467.46,280337.79,323162.11,420551.12
D265,Saint John The Baptist School,St Joseph,120143.06,225421.20,318617.46,271125.00,302798.33,318474.63
D465,Saint John The Baptist School,Tippecanoe,16232.95,32991.01,62329.88,,,
D815,Saint John The Baptist School,Warrick,4398.31,34876.22,103485.12,203626.08,225003.13,282202.01
A365,Saint John-Emmanuel Lutheran School,Allen,,,,153876.33,177291.75,202521.96
A340,Saint Joseph Catholic School,Allen,54000.00,24055.69,70108.01,154797.19,173839.79,180088.88
A350,Saint Joseph Hessen Cassel Catholic School,Allen,22500.00,47477.15,79478.86,155554.53,157881.40,163453.46
A035,Saint Joseph School,Adams,38741.46,116414.88,389397.67,592754.71,564856.35,541594.74
A735,Saint Joseph School,Dekalb,22500.00,43845.34,88701.30,118550.90,132003.39,113810.01
B105,Saint Joseph School,Gibson,7458.00,16918.93,75465.12,155459.62,138560.37,178048.97
B280,Saint Joseph School,Harrison,,3095.00,46963.14,110058.82,97940.40,153704.02
C145,Saint Joseph School,LaPorte,8983.15,,,,,
D270,Saint Joseph School,St Joseph,13979.73,28662.00,109548.82,180598.50,271314.68,315232.08
D335,Saint Joseph School,Shelby,24500.00,61000.00,119162.39,162225.68,162526.58,155866.64
D605,Saint Joseph School,Vanderburgh,2920.00,22702.88,52864.08,72598.70,68825.11,92550.51
D225,Saint Joseph's High School,St Joseph,67627.26,159512.03,437553.41,1003522.55,1092098.13,1407472.11
A155,Saint Joseph-Saint Elizabeth Campus I,Allen,25482.61,63446.53,142002.51,357299.71,662931.95,795050.34
A104,Saint Joseph-Saint Elizabeth Campus II,Allen,25332.92,92382.70,284775.45,452107.38,549199.28,606441.28
D275,Saint Jude Catholic School,St Joseph,68459.46,139792.80,263467.78,380542.28,428620.10,455291.92
A160,Saint Jude Elementary School,Allen,109574.36,319757.99,659749.20,936744.24,1083760.18,1132974.52
C300,Saint Jude Elementary School,Marion,28397.72,58652.02,160646.65,319264.09,392683.76,427243.56
D425,Saint Lawrence Elementary School,Tippecanoe,5067.86,61882.79,178947.31,238430.61,270431.85,369946.57
A700,Saint Lawrence School,Dearborn,,4500.00,,,90286.96,116250.54
A790,Saint Lawrence School,Delaware,11616.00,27863.00,56573.00,90627.00,83241.00,82209.39
C280,Saint Lawrence School,Marion,178852.38,389918.21,783776.22,907063.94,816964.43,768777.71
A360,Saint Louis Besancon Catholic School,Allen,16158.90,50425.50,154781.55,264020.83,269893.83,242872.17
D130,Saint Louis School,Ripley,,32479.31,127247.64,262001.81,270632.13,256998.77
C435,Saint Luke School,Marion,9000.00,35358.92,138371.51,232790.94,302091.20,340725.27
B285,Saint Malachy School,Hendricks,9424.87,71661.14,190159.74,385151.83,473176.83,446435.58
C305,Saint Mark School,Marion,85784.87,174968.53,313314.75,372791.15,384041.74,585246.15
D430,Saint Mary Cathedral School,Tippecanoe,32164.49,99811.83,254851.40,228715.95,297314.40,298485.67
B835,Saint Mary Catholic Community School,Lake,75709.19,144248.26,304300.47,390753.80,477465.46,464636.17
C980,Saint Mary Elementary School,Noble,9000.00,31038.24,70570.19,133884.66,151968.83,138762.22
D140,Saint Mary Elementary School,Rush,20930.00,63890.56,191150.40,209781.93,252876.54,232219.48
B067,Saint Mary of-the-Knobs Catholic School,Floyd,,9723.82,,47192.42,67560.61,83822.45
A690,Saint Mary School,Dearborn,9000.00,57172.36,93591.20,139000.05,146934.81,160890.77
A730,Saint Mary School,Decatur,,5655.00,,32040.19,43532.37,71973.54
A795,Saint Mary School,Delaware,46000.00,46950.00,73950.00,142813.68,156431.05,185264.40
B515,Saint Mary School,Jennings,20610.00,54625.93,143354.98,176587.77,183510.85,189833.78
B930,Saint Mary School,Lake,77000.00,219005.59,420514.99,480499.89,416933.02,466698.20
C190,Saint Mary School,Madison,1820.00,18500.00,68150.00,122550.00,141986.67,130500.00
